CCAA;Año;Partido;Nombre;Puesto;Retribución anual;Ganancia media anual con contrato indefinido;¿A cuántos salarios medios equivale? ;Enlace a documentos
Cataluña;2015;CDC;ARTUR MAS;PRESIDENTE;136.834,78;25916,15;5,28;https://dl.dropboxusercontent.com/u/13234383/Sueldos%20CCAA/CATALU%C3%91A%202015.pdf
País Vasco;2015;PNV;IÑIGO URKULLU;PRESIDENTE;97.518,85;28863,8;3,38;https://dl.dropboxusercontent.com/u/13234383/Sueldos%20CCAA/PAIS%20VASCO%202015.xlsx
Aragón;2014;PSOE;LUISA FERNANDA RUDI;PRESIDENTE;80974,92;23773,93;3,41;
Aragón;2015;PSOE;JAVIER LAMBÁN;PRESIDENTE;80974,92;23773,93;3,41;https://dl.dropboxusercontent.com/u/13234383/Sueldos%20CCAA/ARAGON%202015.png
Madrid;2014;PP;IGNACIO GONZÁLEZ;PRESIDENTE;78378,3;27951,39;2,80;https://dl.dropboxusercontent.com/u/13234383/Sueldos%20CCAA/MADRID%202014.pdf
Madrid;2015;PP;CRISTINA CIFUENTES;PRESIDENTE;78378,3;27951,39;2,80;https://dl.dropboxusercontent.com/u/13234383/Sueldos%20CCAA/MADRID%202015.html
Castilla-La Mancha;2015;PSOE;EMILIANO GARCÍA-PAGE;PRESIDENTE;74.302,16;22263,81;3,34;https://dl.dropboxusercontent.com/u/13234383/Sueldos%20CCAA/CASTILLA%20LA%20MANCHA%202015.xls
Castilla-La Mancha;2014;PP;MARÍA DOLORES COSPEDAL;PRESIDENTE;74.302,16;22263,81;3,34;
Galicia;2015;PP;ALBERTO NUÑEZ FEIJOO;PRESIDENTE;72.002,82;21010,44;3,43;https://dl.dropboxusercontent.com/u/13234383/Sueldos%20CCAA/GALICIA%202015.pdf
La Rioja;2014;PP;PEDRO SANZ;PRESIDENTE;71.886,00;21769,24;3,30;
La Rioja;2015;PP;JOSÉ IGNACIO CENICEROS;PRESIDENTE;71.886,00;21769,24;3,30;https://dl.dropboxusercontent.com/u/13234383/Sueldos%20CCAA/LA%20RIOJA%202015.png
Canarias;2015;CC;FERNANDO CLAVIJO;PRESIDENTE;70.792,45;20009,14;3,54;
Canarias;2014;CC;PAULINO RIVERO BAUTE;PRESIDENTE;70.792,45;20009,14;3,54;https://dl.dropboxusercontent.com/u/13234383/Sueldos%20CCAA/CANARIAS%202014.csv
Castilla y León;2015;PP;JUAN VICENTE HERRERA;PRESIDENTE;69.634,00;21550,86;3,23;https://dl.dropboxusercontent.com/u/13234383/Sueldos%20CCAA/CASTILLA%20Y%20LEON%202015.png
Navarra;2014;UPN;YOLANDA BARCINA;PRESIDENTE;69.354,36;25668;2,70;
Navarra;2015;GEROA BAI;EXUE BARKOS;PRESIDENTE;69.354,36;25668;2,70;https://dl.dropboxusercontent.com/u/13234383/Sueldos%20CCAA/NAVARRA%202012.html
Castilla y León;2014;PP;JUAN VICENTE HERRERA;PRESIDENTE;68.982,00;21550,86;3,20;https://dl.dropboxusercontent.com/u/13234383/Sueldos%20CCAA/CASTILLA%20Y%20LEON%202014.png
Comunidad Valenciana;2014;PP;ALBERTO FABRA;PRESIDENTE;67.615,92;22280,55;3,03;https://dl.dropboxusercontent.com/u/13234383/Sueldos%20CCAA/VALENCIA%202014.pdf
Comunidad Valenciana;2015;PSPV-PSOE;XIMO PUIG;PRESIDENTE;67.615,92;22280,55;3,03;
Murcia;2014;PP;ALBERTO GARRE;PRESIDENTE;66.912,48;21385,14;3,13;
Murcia;2015;PP;PEDRO ANTONIO SÁNCHEZ;PRESIDENTE;66.912,48;21385,14;3,13;https://dl.dropboxusercontent.com/u/13234383/Sueldos%20CCAA/MURCIA%202015.pdf
Baleares;2014;PP;JOSÉ RAMÓN BAUZÁ;PRESIDENTE;65584,63;22069,92;2,97;
Baleares;2015;PSIB-PSOE;FRANCINA ARMENGOL I SOCIAS;PRESIDENTE;65584,63;22069,92;2,97;https://dl.dropboxusercontent.com/u/13234383/Sueldos%20CCAA/BALEARES%202015.pdf
Asturias;2015;PSOE;JAVIER FERNÁNDEZ FERNÁNDEZ ;PRESIDENTE;64630;23768,32;2,72;https://dl.dropboxusercontent.com/u/13234383/Sueldos%20CCAA/ASTURIAS%202015.png
Asturias;2014;PSOE;JAVIER FERNÁNDEZ FERNÁNDEZ ;PRESIDENTE;64630;23768,32;2,72;
Andalucía;2015;PSOE;SUSANA DÍAZ;PRESIDENTE;63808,2;22498,15;2,84;https://dl.dropboxusercontent.com/u/13234383/Sueldos%20CCAA/ANDALUCIA%202015.pdf
Andalucía;2014;PSOE;SUSANA DÍAZ;PRESIDENTE;63808,2;22498,15;2,84;
Cantabria;2014;PP;IGNACIO DIEGO;PRESIDENTE;59.534,00;21357,07;2,79;
Cantabria;2015;PRC;MIGUEL ÁNGEL REVILLA;PRESIDENTE;59.534,00;21357,07;2,79;https://dl.dropboxusercontent.com/u/13234383/Sueldos%20CCAA/CANTABRIA%202015.png
Extremadura;2014;PP;JOSÉ ANTONIO MONAGO TERRAZA;PRESIDENTE;53.213,39;21329,06;2,49;
Extremadura;2015;PSOE;GUILLERMO FERNÁNDEZ VARA;PRESIDENTE;53.213,39;21329,06;2,49;https://dl.dropboxusercontent.com/u/13234383/Sueldos%20CCAA/EXTREMADURA%202014.doc
;;;;;;;;