ID;UNIDAD;FECHA INICIO;FECHA FIN;TÉRMINO MUNICIPAL;PROVINCIA;COMUNIDAD AUTÓNOMA;OBJETO;EFECTIVOS;COSTE;MES;AÑO;MES + AÑO
127;BIEM II;15/07/2012;20/07/2012;Adeje;Santa Cruz de Tenerife;Canarias;Incendios;245;23.477,29;julio;2012;jul-12
128;BIEM IV;19/07/2012;20/07/2012;La Portellada;Teruel;Aragón;Incendios;59;4.935,49;julio;2012;jul-12
129;BIEM I, III, IV y BHELEME II;22/07/2012;26/07/2012;La Junquera;Girona;Cataluña;Incendios;428;157.034,57;julio;2012;jul-12
130;BIEM I y V;23/07/2012;24/07/2012;Caminomorisco;Cáceres;Extremadura;Incendios;232;15.660,15;julio;2012;jul-12
131;BIEM V;25/07/2012;26/07/2012;Santervás de la Vega;Palencia;Castilla y León;Incendios;52;3.214,79;julio;2012;jul-12
132;BIEM I Y IV;01/08/2012;03/08/2012;Checa;Guadalajara;Castilla-La Mancha;Incendios;257;26.389,37;agosto;2012;ago-12
133;BIEM I, BIEM V Y RAEM;04/08/2012;05/08/2012;Gata;Cáceres;Extremadura;Incendios;268;198.722,23;agosto;2012;ago-12
134;BIEM II;04/08/2012;07/08/2012;Villa de Mazo (La Palma);Santa Cruz de Tenerife;Canarias;Incendios;124;18.186,97;agosto;2012;ago-12
135;BIEM II;04/08/2012;08/08/2012;La Gomera;Santa Cruz de Tenerife;Canarias;Incendios;201;22.529,26;agosto;2012;ago-12
136;BIEM I, BIEM II;09/08/2012;10/08/2012;Reillo;Cuenca;Castilla-La Mancha;Incendios;122;15.294,88;agosto;2012;ago-12
137;BIEM II;10/08/2012;20/08/2012;La Gomera 2;Santa Cruz de Tenerife;Canarias;Incendios;257;449.352,98;agosto;2012;ago-12
138;BIEM V;10/08/2012;11/08/2012;León;León;Castilla y León;Incendios;35;4.587,04;agosto;2012;ago-12
139;BIEM V;10/08/2012;13/08/2012;O Barco de Valdeorras;Ourense;Galicia;Incendios;186;23.209,72;agosto;2012;ago-12
140;BIEM II;11/08/2012;13/08/2012;El Tanque;Santa Cruz de Tenerife;Canarias;Incendios;117;9.526,60;agosto;2012;ago-12
141;BIEM I;11/08/2012;12/08/2012;Navas de Estena;Ciudad Real;Castilla-La Mancha;Incendios;72;11.620,48;agosto;2012;ago-12
142;BIEM V;11/08/2012;12/08/2012;Valdehijaderos;Salamanca;Castilla y León;Incendios;86;5.013,46;agosto;2012;ago-12
143;BIEM I, IV;11/08/2012;12/08/2012;Casas de Uceda;Guadalajara;Castilla-La Mancha;Incendios;143;15.239,80;agosto;2012;ago-12
144;BIEM II;12/08/2012;14/08/2012;Torremanzanas;Alicante;Comunidad Valenciana;Incendios;239;22.599,54;agosto;2012;ago-12
145;BIEM V, BIEM I;18/08/2012;20/08/2012;Solana de Ávila;Ávila;Castilla y León;Incendios;125;10.423,90;agosto;2012;ago-12
146;BIEM V;18/08/2012;19/08/2012;Cubo de Benavente;Zamora;Castilla y León;Incendios;103;14.706,81;agosto;2012;ago-12
147;BIEM V;19/08/2012;19/08/2012;Villaobispo de Otero;León;Castilla y León;Incendios;24;15.582,62;agosto;2012;ago-12
148;BIEM V, I , II y IV;19/08/2012;24/08/2012;Castrocontrigo;León;Castilla y León;Incendios;442;34.669,83;agosto;2012;ago-12
149;BIEM III Y BHELEME II;19/08/2012;20/08/2012;Capdepera;Baleares;Baleares;Incendios;45;5.971,34;agosto;2012;ago-12
150;BIEM IV;21/08/2012;22/08/2012;Aras;Navarra;Navarra;Incendios;109;8.013,74;agosto;2012;ago-12
151;BIEM II;25/08/2012;26/08/2012;Los Gallardos-Bédar;Almería;Andalucía;Incendios;72;7.823,88;agosto;2012;ago-12
152;BIEM I y V;27/08/2012;30/08/2012;Valdemaqueda;Madrid;Madrid;Incendios;346;33.601,84;agosto;2012;ago-12
153;BIEM IV;27/08/2012;30/08/2012;Calcena;Zaragoza;Aragón;Incendios;120;29.360,34;agosto;2012;ago-12
154;BIEM II y III;31/08/2012;02/09/2012;Coin;Málaga;Andalucía;Incendios;431;54.798,94;agosto;2012;ago-12
155;BIEM I;31/08/2012;01/09/2012;Valverde del Fresno;Cáceres;Extremadura;Incendios;118;9.992,56;agosto;2012;ago-12
156;BIEM V;07/09/2012;08/09/2012;Salas de los Barrios;León;Castilla y León;Incendios;54;1.469,69;septiembre;2012;sep-12
157;BIEM V;22/09/2012;23/09/2012;Candín;León;Castilla y León;Incendios;50;1.945,63;septiembre;2012;sep-12
158;BIEM V;22/09/2012;23/09/2012;Pedralba de la Pradería;Zamora;Castilla y León;Incendios;46;1.818,74;septiembre;2012;sep-12
159;BIEM III;23/09/2012;26/09/2012;Chulilla;Valencia;Comunidad Valenciana;Incendios;603;64.506,10;septiembre;2012;sep-12
160;BIEM II, I Y BHELEME II;28/09/2012;30/09/2012;Antequera;Málaga;Andalucía;Inundaciones;360;42.588,72;septiembre;2012;sep-12
161;BIEM III;28/09/2012;30/09/2012;Puerto Lumbreras;Murcia;Murcia;Inundaciones;151;22.450,45;septiembre;2012;sep-12
162;BIEM IV;06/01/2013;07/01/2013;Aneto;Huesca;Aragón;Incendios;52;122.536,57;enero;2013;ene-13
163;BIEM IV   BHELEME II BIEM III;16/01/2013;17/01/2013;Panticosa;Huesca;Aragón;Invernal;19;3.320,00;enero;2013;ene-13
164;RAIEM-GIETMA;04/02/2013;08/02/2013;Santovenia de Pisuerga;Valladolid;Castilla y León;Riesgos tecnológicos;52;0;febrero;2013;feb-13
165;BIEM III - BIEM IV;28/01/2013;01/03/2013;Barracas;Castellón;Comunidad Valenciana;Invernal;106;72.857,33;enero;2013;ene-13
166;BIEM I, II, III y BHELEME II;13/03/2013;14/03/2013;Écija;Sevilla;Andalucía;Inundaciones;108;150.283,18;marzo;2013;mar-13
167;BIEM I, BHELEME II;01/04/2013;01/04/2013;Chillón;Ciudad Real;Castilla-La Mancha;Rescate;11;38.043,54;abril;2013;abr-13
168;BIEM IV, BHELEME II;18/06/2013;18/06/2013;Benasque;Huesca;Aragón;Inundaciones;88;194.113,31;junio;2013;jun-13
169;BIEM IV, BHELEME II,, BHELTRA V;19/06/2013;19/06/2013;Vielha;Lleida;Cataluña;Inundaciones;10;81.628,41;junio;2013;jun-13
170;BIEM I;08/07/2013;09/07/2013;Valdemorillo;Madrid;Madrid;Incendios;61;43.611,20;julio;2013;jul-13
171;BIEM IV;09/07/2013;09/07/2013;San Gregorio;Zaragoza;Aragón;Incendios;44;86.146,50;julio;2013;jul-13
172;BIEM I.        GRUPO 43;16/07/2013;17/07/2013;Almorox;Toledo;Castilla-La Mancha;Incendios;178;101.284,58;julio;2013;jul-13
173;BIEM V;18/07/2013;18/07/2013;Outes;A Coruña;Galicia;Incendios;26;32.261,06;julio;2013;jul-13
174;BIEM III;19/07/2013;20/07/2013;Villamarxant-Benaguasil;Valencia;Comunidad Valenciana;Incendios;129;89.157,76;julio;2013;jul-13
175;BIEM III-BHELEME II;26/07/2013;27/07/2013;Ayora;Valencia;Comunidad Valenciana;Incendios;227;160.760,36;julio;2013;jul-13
176;BIEM III-IV-BHELEME II;26/07/2013;01/08/2013;Andratx;Baleares;Baleares;Incendios;282;998.238,37;julio;2013;jul-13
177;BIEM I;31/07/2013;31/07/2013;Tortuero;Guadalajara;Castilla-La Mancha;Incendios;256;95.996,28;julio;2013;jul-13
178;BIEM V;01/08/2013;01/08/2013;Alcañices;Zamora;Castilla y León;Incendios;61;24.447,21;agosto;2013;ago-13
179;BIEM V;03/08/2013;03/08/2013;Cebreros;Ávila;Castilla y León;Incendios;256;93.845,77;agosto;2013;ago-13
180;BIEM I;06/08/2013;06/08/2013;Valdeconcha;Guadalajara;Castilla-La Mancha;Incendios;50;26.552,29;agosto;2013;ago-13
181;BIEM V;11/08/2013;11/08/2013;Quiroga;Lugo;Galicia;Incendios;115;63.556,81;agosto;2013;ago-13
182;BIEM III,  BIEM IV;12/08/2013;12/08/2013;Oliete;Teruel;Aragón;Inundaciones;50;33.497,11;agosto;2013;ago-13
183;BIEM V;20/08/2013;20/08/2013;Soba;Cantabria;Cantabria;Rescate;60;38.830,12;agosto;2013;ago-13
184;BIEM III;21/08/2013;21/08/2013;Artá;Baleares;Baleares;Incendios;66;169.424,37;agosto;2013;ago-13
185;BIEM V;21/08/2013;22/08/2013;Orense-Cudeiro;Ourense;Galicia;Incendios;161;94.715,44;agosto;2013;ago-13
186;BIEM V;22/08/2013;23/08/2013;Villardiegua;Zamora;Castilla y León;Incendios;23;68.452,44;agosto;2013;ago-13
187;BIEM I-II-BHELEME;24/08/2013;25/08/2012;Santibañez;Cáceres;Extremadura;Incendios;118;116.912,78;agosto;2013;ago-13
188;BIEM V;24/08/2013;25/08/2012;Cualedro;Ourense;Galicia;Incendios;264;105.961,80;agosto;2013;ago-13
189;BIEM V;27/08/2013;28/08/2013;Oia;Pontevedra;Galicia;Incendios;355;212.684,84;agosto;2013;ago-13
190;BIEM V;29/08/2013;29/08/2013;Vega de Espinareda;León;Castilla y León;Incendios;23;0;agosto;2013;ago-13
191;BIEM V;29/08/2013;30/08/2013;Lousame Tallara;A Coruña;Galicia;Incendios;122;106.868,96;agosto;2013;ago-13
192;BIEM V;01/09/2013;02/09/2013;Balboa;León;Castilla y León;Incendios;28;47.873,31;septiembre;2013;sep-13
193;BIEM V;05/09/2013;05/09/2013;Puente Caldelas;Pontevedra;Galicia;Incendios;78;71.158,24;septiembre;2013;sep-13
194;BIEM V;05/09/2013;05/09/2013;Hermisende;Zamora;Castilla y León;Incendios;28;33.491,48;septiembre;2013;sep-13
195;BIEM V;11/09/2013;14/09/2013;Negreira, Carnota, Carnota Norte;A Coruña;Galicia;Incendios;319;301.943,88;septiembre;2013;sep-13
196;BIEM II;22/09/2013;22/09/2013;Retín;Cádiz;Andalucía;Incendios;65;51.616,19;septiembre;2013;sep-13
197;BIEM V;23/09/2013;23/09/2013;A Merca;Ourense;Galicia;Incendios;116;46.413,61;septiembre;2013;sep-13
198;BIEM II;24/09/2013;24/09/2013;Cerro Muriano;Córdoba;Andalucía;Incendios;103;71.726,21;septiembre;2013;sep-13
199;BIEM IV;26/09/2013;26/09/2013;San Gregorio;Zaragoza;Aragón;Incendios;43;51.651,34;septiembre;2013;sep-13
200;BIEM IV;10/10/2013;10/10/2013;San Gregorio III;Zaragoza;Aragón;Incendios;27;72.651,09;octubre;2013;oct-13
201;BIEM II;24/10/2013;24/10/2013;Tejeda;Gran Canaria;Canarias;Incendios;137;78.334,34;octubre;2013;oct-13
202;BIEM II  (UIEN CANARIAS);10/01/2014;13/01/2014;Tenerife;Santa Cruz de Tenerife;Canarias;Rescate;73;278.190,22;enero;2014;ene-14
203;BIEM V;03/02/2014;03/02/2014;Boñar;León;Castilla y León;Rescate;17;0;febrero;2014;feb-14
204;GIETMA;19/03/2014;25/03/2014;Hoyo de Manzanares;Madrid;Madrid;RRTTMA;9;5.019,20;marzo;2014;mar-14
205;BIEM II;26/03/2014;27/03/2014;Alhama de Almería;Almería;Andalucía;Incendios;231;108.949,98;marzo;2014;mar-14
206;BIEM III;12/04/2014;14/04/2014;Sant Josep;Baleares;Canarias;Incendios;118;178.267,23;abril;2014;abr-14
207;BIEM III;22/04/2014;22/04/2014;Torrent;Valencia;Comunidad Valenciana;Incendios;276;102.651,34;abril;2014;abr-14
208;BIEM III;14/05/2014;16/05/2014;Marines;Valencia;Comunidad Valenciana;Incendios;257;182.819,84;mayo;2014;may-14
209;BIEM III;14/05/2014;15/05/2014;Calles;Valencia;Comunidad Valenciana;Incendios;102;191.204,36;mayo;2014;may-14
210;BIEM II;14/05/2014;15/05/2014;Barbate;Cádiz;Andalucía;Incendios;5;73.470,00;mayo;2014;may-14
211;BIEM III;21/05/2014;21/05/2014;Cartagena;Murcia;Murcia;Incendios;23;325;mayo;2014;may-14
212;BIEM II;08/06/2014;10/06/2014;CMT Cerro Muriano;Córdoba;Andalucía;Incendios;24;22.004,00;junio;2014;jun-14
213;BIEM III;13/06/2014;14/06/2014;Paterna ;Valencia;Comunidad Valenciana;Incendios;78;83.266,48;junio;2014;jun-14
214;BIEM II;13/06/2014;15/06/2014;Retín 2;Cádiz;Andalucía;Incendios;94;160.902,35;junio;2014;jun-14
215;BIEM IV;16/06/2014;22/06/2014;Fayón;Zaragoza;Aragón;Rescate;18;1.835,93;junio;2014;jun-14
216;BIEM II;09/07/2014;10/07/2014;Ceuta;Ceuta;Ceuta;Incendios;22;55.866,74;julio;2014;jul-14
217;BIEM I;16/07/2014;17/07/2014;Alcázar Segovia;Segovia;Castilla y León;Inundaciones;9;0;julio;2014;jul-14
218;BIEM I;17/07/2014;18/07/2014;Cogolludo 1;Guadalajara;Castilla-La Mancha;Incendios;77;103.092,77;julio;2014;jul-14
219;BIEM I;18/07/2014;20/07/2014;Cogolludo 2;Guadalajara;Castilla-La Mancha;Incendios;181;229.107,22;julio;2014;jul-14
220;BIEM I;18/07/2014;21/07/2014;Bustares;Guadalajara;Castilla-La Mancha;Incendios;110;283.731,40;julio;2014;jul-14
221;BIEM IV;19/07/2014;20/07/2014;Ujué;Navarra;Navarra;Incendios;120;106.381,80;julio;2014;jul-14
222;BIEM III;11/09/2014;13/09/2014;Javea;Alicante;Comunidad Valenciana;Incendios;189;158.282,01;septiembre;2014;sep-14
223;BIEM IV;01/10/2014;04/10/2014;Girona;Girona;Cataluña;Inundaciones;87;21.501,11;octubre;2014;oct-14
224;BIEM V;04/02/2015;04/02/2015;Villablino;León;Castilla y León;Invernal;157;;febrero;2015;feb-15
225;BIEM V;04/02/2015;04/02/2015;Aguilar de Campoo;Palencia;Castilla y León;Invernal;75;;febrero;2015;feb-15
226;BIEM V;06/02/2015;06/02/2015;Cervera de Pisuerga;Palencia;Castilla y León;Invernal;20;;febrero;2015;feb-15
227;BIEM IV;26/02/2015;26/02/2015;Boquiñeni, Alcalá del Ebro, Novillas;Zaragoza;Aragón;Inundaciones;76;;febrero;2015;feb-15
228;BIEM IV;24/03/2015;24/03/2015;Boquiñeni, Novillas, Cuarte, Cadrete, Santa Fe, Pleitas;Zaragoza;Aragón;Inundaciones;10;;marzo;2015;mar-15
229;BIEM V;24/03/2015;24/03/2015;Ponteareas;Pontevedra;Galicia;Incendios;63;;marzo;2015;mar-15
230;CG + BIEM II;30/03/2015;30/03/2015;Madrid;Madrid;Madrid;Atención psicológica;2;;marzo;2015;mar-15
231;BIEM IV;05/04/2015;05/04/2015;Préjano;La Rioja;La Rioja;Inundaciones;68;;abril;2015;abr-15
232;CG + BIEM IV;01/05/2015;01/05/2015;Katmandú;Nepal;Nepal;Exterior;47;;mayo;2015;may-15
233;BIEM III;14/05/2015;16/05/2015;Val de Ebo;Alicante;Comunidad Valenciana;Incendios;238;;mayo;2015;may-15
234;BIEM II;28/05/2015;29/05/2015;Cerro Muriano;Córdoba;Andalucía;Incendios;114;;mayo;2015;may-15
235;BIEM II;11/06/2015;11/06/2015;Vilaflor;Santa Cruz de Tenerife;Canarias;Incendios;89;;junio;2015;jun-15
236;BIEM III;19/06/2015;19/06/2015;El Garruchal;Murcia;Murcia;Incendios;24;;junio;2015;jun-15
237;BIEM V;29/06/2015;30/06/2015;Teo;A Coruña;Galicia;Incendios;25;;junio;2015;jun-15
238;BIEM V;29/06/2015;30/06/2015;Boborás;Ourense;Galicia;Incendios;51;;junio;2015;jun-15
239;BIEM II;02/07/2015;03/07/2015;Las Navetas;Málaga;Andalucía;Incendios;63;;julio;2015;jul-15
240;BIEM IV;04/07/2015;07/07/2015;Sierra de Luna;Zaragoza;Aragón;Incendios;400;;julio;2015;jul-15
241;BIEM I;07/07/2015;08/07/2015;Humanes;Guadalajara;Castilla-La Mancha;Incendios;129;;julio;2015;jul-15
242;BIEM IV;07/07/2015;08/07/2015;San Gregorio;Zaragoza;Aragón;Incendios;47;;julio;2015;jul-15
243;BIEM II;08/07/2015;09/07/2015;Los Gualchos;Granada;Andalucía;Incendios;125;;julio;2015;jul-15
244;BIEM III;08/07/2015;10/07/2015;Montan;Castellón;Comunidad Valenciana;Incendios;246;;julio;2015;jul-15
245;BIEM II;09/07/2015;12/07/2015;Quesada;Jaén;Andalucía;Incendios;246;;julio;2015;jul-15
246;BIEM V;14/07/2015;15/07/2015;Las Omañas;León;Castilla y León;Incendios;26;;julio;2015;jul-15
247;BIEM V;15/07/2015;17/07/2015;Quintana del Castillo;León;Castilla y León;Incendios;268;;julio;2015;jul-15
248;BIEM V;21/07/2015;21/07/2015;Andorcino;León;Castilla y León;Incendios;61;;julio;2015;jul-15
249;BIEM V;21/07/2015;22/07/2015;Trabazos I;Zamora;Castilla y León;Incendios;56;;julio;2015;jul-15
250;BIEM V;23/07/2015;25/07/2015;Trabazos II;Zamora;Castilla y León;Incendios;99;;julio;2015;jul-15
251;BIEM V;25/07/2015;27/07/2015;Navia de Suarna;Lugo;Galicia;Incendios;111;;julio;2015;jul-15
252;BIEM V;26/07/2015;27/07/2015;Vega de Espinareda;León;Castilla y León;Incendios;66;;julio;2015;jul-15
253;BIEM V;28/07/2015;29/07/2015;Tineo;Asturias;Asturias;Incendios;97;;julio;2015;jul-15
254;BIEM IV;28/07/2015;29/07/2015;Burgo de Osma;Soria;Castilla y León;Incendios;65;;julio;2015;jul-15
255;BIEM V;28/07/2015;29/07/2015;Palmés;Ourense;Galicia;Incendios;24;;julio;2015;jul-15
256;BIEM V;02/08/2015;03/08/2015;Ponferrada;León;Castilla y León;Incendios;51;;agosto;2015;ago-15
257;BIEM I;06/08/2015;12/08/2015;Acebo;Cáceres;Extremadura;Incendios;318;;agosto;2015;ago-15
258;BIEM III;06/08/2015;07/08/2015;Lorca;Murcia;Murcia;Incendios;99;;agosto;2015;ago-15
259;BIEM III;06/08/2015;09/08/2015;Cieza;Murcia;Murcia;Incendios;213;;agosto;2015;ago-15
260;BIEM V;09/08/2015;10/08/2015;Ames, Santiago, Trazos;A Coruña;Galicia;Incendios;111;;agosto;2015;ago-15
261;BIEM V;22/08/2015;22/08/2015;Bermellar;Salamanca;Castilla y León;Incendios;22;;agosto;2015;ago-15
262;BIEM V;22/08/2015;22/08/2015;Villagatón;León;Castilla y León;Incendios;48;;agosto;2015;ago-15
263;BIEM V;27/08/2015;27/08/2015;Valderredible;Cantabria;Cantabria;Incendios;105;;agosto;2015;ago-15
264;BIEM V;30/08/2015;30/08/2015;Cualedro;Ourense;Galicia;Incendios;292;;agosto;2015;ago-15
