Fecha,Infectados,Recuperados,Muertes,dif_altas,nuevos_casos,dif_muertos,Casos activos,tasa_crecimiento,tasa_crecimiento_media_5dias
24/02/2020,3,2,0,,,,,,
25/02/2020,10,2,0,0,7,0,8,233.3%,
26/02/2020,16,2,0,0,6,0,14,60.0%,
27/02/2020,32,2,0,0,16,0,30,100.0%,
28/02/2020,44,2,0,0,12,0,42,37.5%,107.7%
29/02/2020,66,2,0,0,22,0,64,50.0%,96.2%
01/03/2020,114,2,0,0,48,0,112,72.7%,64.0%
02/03/2020,135,3,1,1,21,1,131,18.4%,55.7%
03/03/2020,198,3,1,0,63,0,194,46.7%,45.1%
04/03/2020,237,3,3,0,39,2,231,19.7%,41.5%
05/03/2020,365,10,5,7,128,2,350,54.0%,42.3%
06/03/2020,430,30,8,20,65,3,392,17.8%,31.3%
07/03/2020,589,30,17,0,159,9,542,37.0%,35.0%
08/03/2020,999,23,17,0,410,0,959,69.6%,39.6%
09/03/2020,1622,135,35,112,623,18,1452,62.4%,48.2%
10/03/2020,2128,183,47,48,506,12,1898,31.2%,43.6%
11/03/2020,2950,189,84,6,822,37,2677,38.6%,47.8%
12/03/2020,4209,189,120,4,1259,36,3900,42.7%,48.9%
13/03/2020,5753,517,136,328,1544,16,5100,36.7%,42.3%
14/03/2020,7753,517,288,0,2000,152,6948,34.8%,36.8%
15/03/2020,9191,530,309,13,1438,21,8352,18.5%,34.3%
16/03/2020,11178,1028,491,498,1987,182,9659,21.6%,30.9%
17/03/2020,13716,1081,598,53,2538,107,12037,22.7%,26.9%
18/03/2020,17147,1107,767,26,3431,169,15273,25.0%,24.5%
19/03/2020,19980,1585,1002,478,2833,235,17393,16.5%,20.9%
20/03/2020,24926,2125,1326,540,4946,324,21475,24.8%,22.1%
21/03/2020,28572,2575,1720,450,3646,394,24277,14.6%,20.7%
22/03/2020,33089,3355,2182,780,4517,462,27552,15.8%,19.3%
23/03/2020,39673,3794,2696,439,6584,514,33183,19.9%,18.3%
24/03/2020,47610,5367,3434,1573,7937,738,38809,20.0%,19.0%
25/03/2020,56188,7015,4089,1648,8578,655,45084,18.0%,17.7%
26/03/2020,64059,9357,4858,2342,7871,769,49844,14.0%,17.5%
27/03/2020,72248,12285,5690,2928,8189,832,54273,12.8%,16.9%
28/03/2020,78797,14709,6528,2424,6549,838,57560,9.1%,14.8%
29/03/2020,85195,16780,7340,2071,6398,812,61075,8.1%,12.4%
30/03/2020,94417,19259,8189,2479,9222,849,66969,10.8%,11.0%
31/03/2020,102136,22647,9053,3388,7719,864,70436,8.2%,9.8%
01/04/2020,110238,26743,10003,4096,8102,950,73492,7.9%,8.8%
02/04/2020,117710,30513,10935,3770,7472,932,76262,6.8%,8.4%
03/04/2020,124736,34219,11744,3706,7026,809,78773,6.0%,7.9%
04/04/2020,130759,38080,12418,3861,6023,674,80261,4.8%,6.7%
05/04/2020,135032,40437,13055,2357,4273,637,81540,3.3%,5.8%
06/04/2020,140510,43208,13798,2771,5478,743,83504,4.1%,5.0%
07/04/2020,146690,48021,14555,4813,6180,757,84114,4.4%,4.5%
08/04/2020,152446,52165,15238,4144,5756,683,85043,3.9%,4.1%
09/04/2020,157022,55668,15843,3503,4576,605,85511,3.0%,3.7%
10/04/2020,161852,59109,16353,3441,4830,510,86390,3.1%,3.7%
11/04/2020,166019,62391,16972,3282,4167,619,86656,2.6%,3.4%
12/04/2020,169496,64727,17489,2336,3477,517,87280,2.1%,2.9%
13/04/2020,172541,67504,18056,2777,3045,567,86981,1.8%,2.5%
14/04/2020,177633,70850,18579,3346,5092,523,88204,3.0%,2.5%
15/04/2020,182816,74797,19130,3947,5183,551,88889,2.9%,2.5%
16/04/2020,188068,72963,19478,3502,5252,585,95627,2.9%,2.5%
17/04/2020,192920,74662,20043,3166,4852,565,98215,2.6%,2.6%
18/04/2020,188578,77357,20453,2695,-4342,410,90768,-2.3%,1.8%
19/04/2020,191163,80587,20852,1694,2585,399,89724,1.4%,1.5%
20/04/2020,194515,82514,21282,1928,3352,430,90719,1.8%,1.3%
21/04/2020,197142,85915,21717,3401,2627,435,89510,1.4%,1.0%
22/04/2020,200194,89250,22157,3305,3052,440,88787,1.5%,0.8%
23/04/2020,202961,92355,22524,3105,2796,367,88082,1.4%,1.5%
24/04/2020,205905,95708,22902,3353,2944,378,87295,1.5%,1.5%
25/04/2020,207634,98732,23190,3024,1729,288,85712,0.8%,1.3%
26/04/2020,209465,100875,23521,2143,1831,331,85069,0.9%,1.2%
27/04/2020,210773,102548,23822,1673,1308,301,84403,0.6%,1.0%
28/04/2020,212917,108947,24275,6399,2144,325,79695,1.0%,1.0%
29/04/2020,213435,112050,24543,3103,1309,268,76842,0.2%,0.7%
30/04/2020,215216,114678,24824,2628,1175,281,75714,0.8%,0.7%
01/05/2020,216582,117248,25100,2572,1147,276,74234,0.6%,0.7%
02/05/2020,217466,118902,25264,1654,884,164,73300,0.4%,0.6%
03/05/2020,218011,121343,25428,2441,545,164,71240,0.3%,0.5%
04/05/2020,219329,123486,25613,2143,1318,185,70230,0.6%,0.5%
05/05/2020,220325,126002,25857,2516,996,244,68466,0.5%,0.5%
06/05/2020,221447,128511,26070,2509,1122,213,66866,0.5%,0.4%
07/05/2020,222857,131148,26299,2637,1410,229,65410,0.6%,0.5%
08/05/2020,223578,133952,26478,2804,721,179,63148,0.3%,0.5%
09/05/2020,224390,136166,26621,2214,812,143,61603,0.4%,0.5%
10/05/2020,227436,137139,26744,973,3046,123,63553,1.4%,0.6%
11/05/2020,228030,138980,26920,1841,594,176,62130,0.3%,0.6%
12/05/2020,228691,140823,27104,1843,661,184,60764,0.3%,0.5%
13/05/2020,229540,143374,27321,2551,849,217,58845,0.4%,0.5%
14/05/2020,230183,144783,27459,1409,643,138,57941,0.3%,0.5%
15/05/2020,230698,146446,27563,1663,515,104,56689,0.2%,0.3%
16/05/2020,231350,149576,27650,3130,652,87,54124,0.3%,0.3%
17/05/2020,231606,150376,27709,800,256,59,53521,0.1%,0.3%
18/05/2020,232037,,27778,,431,69,204259,0.2%,0.2%
19/05/2020,232555,,27888,,518,110,204667,0.2%,0.2%
20/05/2020,233037,,27940,,482,52,205097,0.2%,0.2%
21/05/2020,234824,,28628,,1787,688,206196,0.8%,0.3%
22/05/2020,235290,,28678,,466,50,206612,0.2%,0.3%
23/05/2020,235772,,28752,,482,74,207020,0.2%,0.3%
24/05/2020,235400,,26834,,-372,-1918,208566,-0.2%,0.2%
25/05/2020,236259,,27117,,859,283,209142,0.4%,0.3%
26/05/2020,236769,,27118,,510,1,209651,0.2%,0.2%
27/05/2020,237906,,27119,,1137,1,210787,0.5%,0.2%
28/05/2020,238564,,27121,,658,2,211443,0.3%,0.2%
29/05/2020,239228,,27125,,664,4,212103,0.3%,0.3%
30/05/2020,239429,,27127,,201,2,212302,0.1%,0.3%
31/05/2020,239638,,27127,,209,0,212511,0.1%,0.2%
01/06/2020,239932,,27127,,294,0,212805,0.1%,0.2%
02/06/2020,240326,,27128,,394,1,213198,0.2%,0.1%
03/06/2020,240660,,27133,,334,5,213527,0.1%,0.1%
04/06/2020,240978,,27134,,318,1,213844,0.1%,0.1%
05/06/2020,241310,,27135,,332,1,214175,0.1%,0.1%
06/06/2020,241550,,27136,,240,1,214414,0.1%,0.1%
07/06/2020,241717,,27136,,167,0,214581,0.1%,0.1%
08/06/2020,241966,,27136,,249,0,214830,0.1%,0.1%
09/06/2020,242280,,27136,,314,0,215144,0.1%,0.1%
10/06/2020,242707,,27136,,427,0,215571,0.2%,0.1%
11/06/2020,243209,,27136,,502,0,216073,0.2%,0.1%
12/06/2020,243605,,27136,,396,0,216469,0.2%,0.2%
13/06/2020,243928,,27136,,323,0,216792,0.1%,0.2%
14/06/2020,244109,,27136,,181,0,216973,0.1%,0.2%
15/06/2020,244328,,27136,,219,0,217192,0.1%,0.1%
16/06/2020,244683,,27136,,355,0,217547,0.1%,0.1%
17/06/2020,245268,,27136,,585,0,218132,0.2%,0.1%
18/06/2020,245575,,28315,,307,1179,217260,0.1%,0.1%
19/06/2020,245938,,28322,,363,7,217616,0.1%,0.1%
20/06/2020,246272,,28323,,334,1,217949,0.1%,0.2%
21/06/2020,246504,,28324,,232,1,,0.1%,0.1%
22/06/2020,246752,,28325,,248,1,,0.1%,0.1%
23/06/2020,247086,,28327,,334,2,,0.1%,0.1%
24/06/2020,247486,,28330,,400,3,,0.2%,0.1%
25/06/2020,247905,,28338,,419,8,,0.2%,0.1%
26/06/2020,248469,,28341,,564,3,,0.2%,0.2%
27/06/2020,248770,,28343,,301,2,,0.1%,0.2%
28/06/2020,248970,,28346,,200,3,,0.1%,0.2%
29/06/2020,249271,,28355,,301,9,,0.1%,0.1%
30/06/2020,249659,,28363,,388,8,,0.2%,0.1%
01/07/2020,250103,,28368,,444,5,,0.2%,0.1%
02/07/2020,250545,,28385,,442,17,,0.2%,0.1%
05/07/2020,251789,,28388,,1244,3,,0.5%,0.2%
06/07/2020,252130,,28392,,341,4,,0.1%,0.2%
07/07/2020,252513,,28396,,383,4,,0.2%,0.2%
08/07/2020,253056,,28401,,543,5,,0.2%,0.2%
09/07/2020,253908,,28403,,852,2,,0.3%,0.3%
12/07/2020,255953,,28406,,2045,3,,0.8%,0.3%
13/07/2020,256619,,28409,,666,3,,0.3%,0.4%
14/07/2020,257494,,28413,,875,4,,0.3%,0.4%
15/07/2020,258855,,28416,,1361,3,,0.5%,0.5%
16/07/2020,260255,,28420,,1400,4,,0.5%,0.5%
19/07/2020,264836,,28422,,4581,2,,1.8%,0.7%
20/07/2020,266194,,28424,,1358,2,,0.5%,0.7%
21/07/2020,267551,,28426,,1357,2,,0.5%,0.8%
22/07/2020,270166,,28429,,2615,3,,1.0%,0.9%
23/07/2020,272421,,28432,,2255,3,,0.8%,0.9%
26/07/2020,278782,,28434,,6361,2,,2.3%,1.0%
27/07/2020,280610,,28436,,1828,2,,0.7%,1.1%
28/07/2020,282641,,28441,,2031,5,,0.7%,1.1%
29/07/2020,285430,,28443,,2789,2,,1.0%,1.1%
30/07/2020,288522,,28445,,3092,2,,1.1%,1.2%
02/08/2020,297054,,28472,,8532,27,,3.0%,1.3%
03/08/2020,302814,,28498,,5760,26,,1.9%,1.5%
04/08/2020,305767,,28499,,2953,1,,1.0%,1.6%
05/08/2020,309855,,28500,,4088,1,,1.3%,1.7%
06/08/2020,314362,,28503,,4507,3,,1.5%,1.7%
09/08/2020,322980,,28576,,8618,73,,2.7%,1.7%
10/08/2020,326612,,28581,,3632,5,,1.1%,1.5%
11/08/2020,329784,,28579,,3172,-2,,1.0%,1.5%
12/08/2020,337334,,28605,,7550,26,,2.3%,1.7%
13/08/2020,342813,,28617,,5479,12,,1.6%,1.8%
16/08/2020,359082,,28646,,16269,29,,4.7%,2.2%
17/08/2020,364196,,28670,,5114,24,,1.4%,2.2%
18/08/2020,370867,,28797,,6671,127,,1.8%,2.4%
19/08/2020,377906,,28813,,7039,16,,1.9%,2.3%
20/08/2020,386054,,28838,,8148,25,,2.2%,2.4%
23/08/2020,405436,,28872,,19382,34,,5.0%,2.5%
24/08/2020,412553,,28924,,7117,52,,1.8%,2.5%
25/08/2020,419849,,28971,,7296,47,,1.8%,2.5%
26/08/2020,429507,,28996,,9658,25,,2.3%,2.6%
27/08/2020,439286,,29011,,9779,15,,2.3%,2.6%
30/08/2020,462858,,29094,,23572,83,,5.4%,2.7%
31/08/2020,470973,,29152,,8115,58,,1.8%,2.7%
01/09/2020,479554,,29194,,8581,42,,1.8%,2.7%
02/09/2020,488513,,29234,,8959,40,,1.9%,2.6%
03/09/2020,498989,,29418,,10476,184,,2.1%,2.6%
06/09/2020,525549,,29516,,26560,98,,5.3%,2.6%
07/09/2020,534513,,29594,,8964,78,,1.7%,2.6%
08/09/2020,543379,,29628,,8866,34,,1.7%,2.5%
09/09/2020,554143,,29699,,10764,71,,2.0%,2.6%
10/09/2020,566326,,29747,,12183,48,,2.2%,2.6%
13/09/2020,593730,,29848,,27404,101,,4.8%,2.5%
14/09/2020,603167,,30004,,9437,156,,1.6%,2.5%
15/09/2020,614360,,30243,,11193,239,,1.9%,2.5%
16/09/2020,625651,,30405,,11291,162,,1.8%,2.5%
17/09/2020,640040,,30495,,14389,90,,2.3%,2.5%
20/09/2020,671468,,30663,,31428,168,,4.9%,2.5%
21/09/2020,682267,,30904,,10799,241,,1.6%,2.5%
22/09/2020,693556,,31034,,11289,130,,1.7%,2.5%
23/09/2020,704209,,31118,,10653,84,,1.5%,2.4%
24/09/2020,716481,,31232,,12272,114,,1.7%,2.3%
27/09/2020,748266,,31411,,31785,179,,4.4%,2.2%
28/09/2020,758172,,31614,,9906,203,,1.3%,2.1%
29/09/2020,769188,,31791,,11016,177,,1.5%,2.1%
30/09/2020,778607,,31973,,9419,182,,1.2%,2.0%
01/10/2020,789932,,32086,,11325,113,,1.5%,2.0%
04/10/2020,813412,,32225,,23480,139,,3.0%,1.7%
05/10/2020,825410,,32486,,11998,261,,1.5%,1.7%
06/10/2020,835901,,32562,,10491,76,,1.3%,1.7%
07/10/2020,848324,,32688,,12423,126,,1.5%,1.7%
08/10/2020,861112,,32929,,12788,241,,1.5%,1.7%
11/10/2020,888968,,33124,,27856,195,,3.2%,1.8%
12/10/2020,896086,,33204,,7118,80,,0.8%,1.7%
13/10/2020,908056,,33413,,11970,209,,1.3%,1.7%
14/10/2020,921374,,33553,,13318,140,,1.5%,1.7%
15/10/2020,936560,,33775,,15186,222,,1.6%,1.7%
18/10/2020,974449,,33992,,37889,217,,4.0%,1.9%
19/10/2020,988322,,34210,,13873,218,,1.4%,2.0%
20/10/2020,1005295,,34366,,16973,156,,1.7%,2.1%
21/10/2020,1026281,,34521,,20986,155,,2.1%,2.2%
22/10/2020,1046132,,34752,,19851,231,,1.9%,2.2%
25/10/2020,1098320,,35031,,52188,279,,5.0%,2.4%
26/10/2020,1116738,,35298,,18418,267,,1.7%,2.5%
27/10/2020,1136503,,35466,,19765,168,,1.8%,2.5%
28/10/2020,1160083,,35639,,23580,173,,2.1%,2.5%
29/10/2020,1185678,,35878,,25595,239,,2.2%,2.5%
01/11/2020,1240697,,36257,,55019,379,,4.6%,2.5%
02/11/2020,1259366,,36495,,18669,238,,1.5%,2.4%
03/11/2020,1284408,,38118,,25042,1623,,2.0%,2.5%
04/11/2020,1306316,,38486,,21908,368,,1.7%,2.4%
05/11/2020,1328832,,38833,,22516,347,,1.7%,2.3%
08/11/2020,1381218,,39345,,52386,512,,3.9%,2.2%
09/11/2020,1398613,,39756,,17395,411,,1.3%,2.1%